               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,             0.03153,            0.034564,           0.0051357,             0.92964,             0.90176,             0.96209,             0.73194,            0.026302,            0.018862,           0.0030551,            0.005644,            0.005644,            0.005644
                 134,            0.030889,            0.039498,           0.0053832,             0.87826,             0.94601,             0.96226,             0.73967,            0.026338,            0.019181,           0.0030098,            0.005611,            0.005611,            0.005611
                 135,            0.032818,            0.035824,            0.004836,             0.92877,             0.89725,              0.9595,             0.73447,            0.025952,            0.018764,           0.0029555,            0.005578,            0.005578,            0.005578
                 136,            0.031984,            0.037537,           0.0047495,             0.92493,             0.89977,             0.95696,             0.72754,            0.026937,            0.018787,           0.0029117,            0.005545,            0.005545,            0.005545
                 137,            0.033439,             0.03332,           0.0048677,             0.93369,             0.89668,             0.96047,             0.72663,            0.026821,            0.018772,           0.0028875,            0.005512,            0.005512,            0.005512
                 138,             0.03298,            0.036128,           0.0052563,             0.92193,             0.90154,              0.9607,             0.72929,            0.026776,            0.018834,           0.0028982,            0.005479,            0.005479,            0.005479
                 139,            0.030677,            0.031971,           0.0050048,             0.92583,             0.90374,             0.95327,             0.73732,            0.026297,            0.018964,           0.0029118,            0.005446,            0.005446,            0.005446
                 140,            0.033417,            0.036281,           0.0046999,             0.93568,             0.89612,             0.95202,             0.72464,            0.027151,            0.019127,           0.0029294,            0.005413,            0.005413,            0.005413
                 141,            0.031008,            0.032877,           0.0049271,             0.94907,             0.88349,             0.95286,             0.73249,            0.026253,            0.018808,           0.0029228,             0.00538,             0.00538,             0.00538
                 142,            0.031809,             0.03387,           0.0052791,              0.9265,             0.90308,             0.95325,             0.73969,            0.025648,            0.018635,           0.0029518,            0.005347,            0.005347,            0.005347
                 143,            0.032173,            0.034392,            0.004625,             0.93643,             0.90186,             0.95612,             0.74432,            0.025827,            0.018565,           0.0029383,            0.005314,            0.005314,            0.005314
                 144,            0.032433,            0.038096,           0.0046205,              0.9423,             0.90061,             0.96131,             0.73776,            0.026415,            0.018596,           0.0029416,            0.005281,            0.005281,            0.005281
                 145,            0.031995,            0.035614,           0.0049435,             0.93309,             0.90326,             0.96054,             0.74247,            0.026231,            0.018628,           0.0029431,            0.005248,            0.005248,            0.005248
                 146,            0.032168,            0.033358,           0.0048598,             0.93514,             0.91323,             0.96312,              0.7415,            0.025965,            0.018607,           0.0029083,            0.005215,            0.005215,            0.005215
                 147,            0.031543,            0.033764,           0.0043728,             0.94041,             0.91013,             0.96307,             0.74212,            0.026304,            0.018539,           0.0028796,            0.005182,            0.005182,            0.005182
                 148,            0.033169,            0.036093,           0.0047066,             0.93035,             0.91002,             0.96136,             0.73874,            0.026738,            0.018615,           0.0028838,            0.005149,            0.005149,            0.005149
                 149,            0.032788,            0.037898,            0.004976,             0.93769,             0.90702,             0.96388,             0.74553,             0.02598,            0.018414,           0.0029081,            0.005116,            0.005116,            0.005116
                 150,            0.031137,            0.036294,           0.0049507,             0.94017,             0.90492,             0.96337,              0.7587,            0.025288,            0.018151,            0.002913,            0.005083,            0.005083,            0.005083
                 151,            0.029292,            0.033538,           0.0048832,             0.93355,             0.90608,             0.96225,             0.77085,             0.02499,            0.017995,           0.0028832,             0.00505,             0.00505,             0.00505
                 152,            0.031599,             0.03681,             0.00525,             0.92556,             0.90378,             0.96082,             0.76447,            0.025245,            0.018063,           0.0028479,            0.005017,            0.005017,            0.005017
                 153,            0.030818,             0.03469,           0.0053513,             0.92606,             0.89955,             0.95898,             0.76513,            0.024953,            0.017985,           0.0028229,            0.004984,            0.004984,            0.004984
                 154,             0.03115,            0.033205,           0.0051128,             0.93079,             0.90867,             0.96225,             0.76098,               0.025,            0.017916,           0.0027791,            0.004951,            0.004951,            0.004951
                 155,            0.030518,            0.034132,           0.0040558,             0.93827,             0.90392,             0.96162,               0.751,            0.025619,            0.018078,            0.002759,            0.004918,            0.004918,            0.004918
                 156,            0.029944,            0.032292,            0.004162,             0.94721,             0.91101,             0.96454,             0.75781,            0.024869,            0.017911,           0.0027585,            0.004885,            0.004885,            0.004885
                 157,             0.03002,            0.035189,           0.0043062,             0.94047,             0.91573,             0.96426,              0.7473,            0.025381,            0.017916,           0.0027324,            0.004852,            0.004852,            0.004852
                 158,            0.030658,            0.033947,           0.0044701,             0.93655,             0.91857,             0.96246,             0.74486,            0.026107,            0.017975,           0.0027324,            0.004819,            0.004819,            0.004819
                 159,            0.033882,            0.035885,           0.0052538,              0.9314,             0.90704,             0.96538,             0.75677,            0.025812,            0.017807,           0.0027331,            0.004786,            0.004786,            0.004786
